"U","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-10,1,0,0,0.5,0.25
-10,1,0.004,0.004,0.5,0.25
-10,1,0.008,0.008,0.5,0.25
-10,1,0.012,0.012,0.5,0.25
-10,1,0.016,0.016,0.5,0.25
-10,1,0.02,0.02,0.5,0.25
-10,1,0.024,0.024,0.5,0.25
-10,1,0.028,0.028,0.5,0.25
-10,1,0.032,0.032,0.5,0.25
-10,1,0.036,0.036,0.5,0.25
-10,1,0.04,0.04,0.5,0.25
-10,1,0.044,0.044,0.5,0.25
-10,1,0.048,0.048,0.5,0.25
-10,1,0.052,0.052,0.5,0.25
-10,1,0.056,0.056,0.5,0.25
-10,1,0.06,0.06,0.5,0.25
-10,1,0.064,0.064,0.5,0.25
-10,1,0.068,0.068,0.5,0.25
-10,1,0.072,0.072,0.5,0.25
-10,1,0.076,0.076,0.5,0.25
-10,1,0.08,0.08,0.5,0.25
-10,1,0.084,0.084,0.5,0.25
-10,1,0.088,0.088,0.5,0.25
-10,1,0.092,0.092,0.5,0.25
-10,1,0.096,0.096,0.5,0.25
-10,1,0.1,0.1,0.5,0.25
-10,1,0.104,0.104,0.5,0.25
-10,1,0.108,0.108,0.5,0.25
-10,1,0.112,0.112,0.5,0.25
-10,1,0.116,0.116,0.5,0.25
-10,1,0.12,0.12,0.5,0.25
-10,1,0.124,0.124,0.5,0.25
-10,1,0.128,0.128,0.5,0.25
-10,1,0.132,0.132,0.5,0.25
-10,1,0.136,0.136,0.5,0.25
-10,1,0.14,0.14,0.5,0.25
-10,1,0.144,0.144,0.5,0.25
-10,1,0.148,0.148,0.5,0.25
-10,1,0.152,0.152,0.5,0.25
-10,1,0.156,0.156,0.5,0.25
-10,1,0.16,0.16,0.5,0.25
-10,1,0.164,0.164,0.5,0.25
-10,1,0.168,0.168,0.5,0.25
-10,1,0.172,0.172,0.5,0.25
-10,1,0.176,0.176,0.5,0.25
-10,1,0.18,0.18,0.5,0.25
-10,1,0.184,0.184,0.5,0.25
-10,1,0.188,0.188,0.5,0.25
-10,1,0.192,0.192,0.5,0.25
-10,1,0.196,0.196,0.5,0.25
-10,1,0.2,0.2,0.5,0.25
-10,1,0.204,0.204,0.5,0.25
-10,1,0.208,0.208,0.5,0.25
-10,1,0.212,0.212,0.5,0.25
-10,1,0.216,0.216,0.5,0.25
-10,1,0.22,0.22,0.5,0.25
-10,1,0.224,0.224,0.5,0.25
-10,1,0.228,0.228,0.5,0.25
-10,1,0.232,0.232,0.5,0.25
-10,1,0.236,0.236,0.5,0.25
-10,1,0.24,0.24,0.5,0.25
-10,1,0.244,0.244,0.5,0.25
-10,1,0.248,0.248,0.5,0.25
-10,1,0.252,0.252,0.5,0.25
-10,1,0.256,0.256,0.5,0.25
-10,1,0.26,0.26,0.5,0.25
-10,1,0.264,0.264,0.5,0.25
-10,1,0.268,0.268,0.5,0.25
-10,1,0.272,0.272,0.5,0.25
-10,1,0.276,0.276,0.5,0.25
-10,1,0.28,0.28,0.5,0.25
-10,1,0.284,0.284,0.5,0.25
-10,1,0.288,0.288,0.5,0.25
-10,1,0.292,0.292,0.5,0.25
-10,1,0.296,0.296,0.5,0.25
-10,1,0.3,0.3,0.5,0.25
-10,1,0.304,0.304,0.5,0.25
-10,1,0.308,0.308,0.5,0.25
-10,1,0.312,0.312,0.5,0.25
-10,1,0.316,0.316,0.5,0.25
-10,1,0.32,0.32,0.5,0.25
-10,1,0.324,0.324,0.5,0.25
-10,1,0.328,0.328,0.5,0.25
-10,1,0.332,0.332,0.5,0.25
-10,1,0.336,0.336,0.5,0.25
-10,1,0.34,0.34,0.5,0.25
-10,1,0.344,0.344,0.5,0.25
-10,1,0.348,0.348,0.5,0.25
-10,1,0.352,0.352,0.5,0.25
-10,1,0.356,0.356,0.5,0.25
-10,1,0.36,0.36,0.5,0.25
-10,1,0.364,0.364,0.5,0.25
-10,1,0.368,0.368,0.5,0.25
-10,1,0.372,0.372,0.5,0.25
-10,1,0.376,0.376,0.5,0.25
-10,1,0.38,0.38,0.5,0.25
-10,1,0.384,0.384,0.5,0.25
-10,1,0.388,0.388,0.5,0.25
-10,1,0.392,0.392,0.5,0.25
-10,1,0.396,0.396,0.5,0.25
-10,1,0.4,0.4,0.5,0.25
-10,1,0.404,0.404,0.5,0.25
-10,1,0.408,0.408,0.5,0.25
-10,1,0.412,0.412,0.5,0.25
-10,1,0.416,0.416,0.5,0.25
-10,1,0.42,0.42,0.5,0.25
-10,1,0.424,0.424,0.5,0.25
-10,1,0.428,0.428,0.5,0.25
-10,1,0.432,0.432,0.5,0.25
-10,1,0.436,0.436,0.5,0.25
-10,1,0.44,0.44,0.5,0.25
-10,1,0.444,0.444,0.5,0.25
-10,1,0.448,0.448,0.5,0.25
-10,1,0.452,0.452,0.5,0.25
-10,1,0.456,0.456,0.5,0.25
-10,1,0.46,0.46,0.5,0.25
-10,1,0.464,0.464,0.5,0.25
-10,1,0.468,0.468,0.5,0.25
-10,1,0.472,0.472,0.5,0.25
-10,1,0.476,0.476,0.5,0.25
-10,1,0.48,0.48,0.5,0.25
-10,1,0.484,0.484,0.5,0.25
-10,1,0.488,0.488,0.5,0.25
-10,1,0.492,0.492,0.5,0.25
-10,1,0.496,0.496,0.5,0.25
-10,1,0.5,0.5,0.5,0.25
-10,1,0.504,0.504,0.5,0.25
-10,1,0.508,0.508,0.5,0.25
-10,1,0.512,0.512,0.5,0.25
-10,1,0.516,0.516,0.5,0.25
-10,1,0.52,0.52,0.5,0.25
-10,1,0.524,0.524,0.5,0.25
-10,1,0.528,0.528,0.5,0.25
-10,1,0.532,0.532,0.5,0.25
-10,1,0.536,0.536,0.5,0.25
