"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0397e-10,1.0397e-10,1,0,0,0.5,0.25
8.151e-11,8.151e-11,1,0.004,0.004,0.5,0.25
5.9054e-11,5.9054e-11,1,0.008,0.008,0.5,0.25
3.6598e-11,3.6598e-11,1,0.012,0.012,0.5,0.25
1.4142e-11,1.4142e-11,1,0.016,0.016,0.5,0.25
-8.3138e-12,-8.3138e-12,1,0.02,0.02,0.5,0.25
-3.077e-11,-3.077e-11,1,0.024,0.024,0.5,0.25
-5.3226e-11,-5.3226e-11,1,0.028,0.028,0.5,0.25
-7.5682e-11,-7.5682e-11,1,0.032,0.032,0.5,0.25
-9.8138e-11,-9.8138e-11,1,0.036,0.036,0.5,0.25
-1.2059e-10,-1.2059e-10,1,0.04,0.04,0.5,0.25
-1.4305e-10,-1.4305e-10,1,0.044,0.044,0.5,0.25
-1.6551e-10,-1.6551e-10,1,0.048,0.048,0.5,0.25
-1.8796e-10,-1.8796e-10,1,0.052,0.052,0.5,0.25
-2.1042e-10,-2.1042e-10,1,0.056,0.056,0.5,0.25
-2.3287e-10,-2.3287e-10,1,0.06,0.06,0.5,0.25
-2.5533e-10,-2.5533e-10,1,0.064,0.064,0.5,0.25
-2.7779e-10,-2.7779e-10,1,0.068,0.068,0.5,0.25
-3.0024e-10,-3.0024e-10,1,0.072,0.072,0.5,0.25
-3.227e-10,-3.227e-10,1,0.076,0.076,0.5,0.25
-3.4515e-10,-3.4515e-10,1,0.08,0.08,0.5,0.25
-3.6761e-10,-3.6761e-10,1,0.084,0.084,0.5,0.25
-3.5713e-10,-3.5713e-10,1,0.088,0.088,0.5,0.25
-3.782e-10,-3.782e-10,1,0.092,0.092,0.5,0.25
-3.9927e-10,-3.9927e-10,1,0.096,0.096,0.5,0.25
-4.2034e-10,-4.2034e-10,1,0.1,0.1,0.5,0.25
-4.4141e-10,-4.4141e-10,1,0.104,0.104,0.5,0.25
-4.6248e-10,-4.6248e-10,1,0.108,0.108,0.5,0.25
-4.8355e-10,-4.8355e-10,1,0.112,0.112,0.5,0.25
-5.0463e-10,-5.0463e-10,1,0.116,0.116,0.5,0.25
-5.257e-10,-5.257e-10,1,0.12,0.12,0.5,0.25
-5.4677e-10,-5.4677e-10,1,0.124,0.124,0.5,0.25
-5.4367e-10,-5.4367e-10,1,0.128,0.128,0.5,0.25
-5.6394e-10,-5.6394e-10,1,0.132,0.132,0.5,0.25
-5.8422e-10,-5.8422e-10,1,0.136,0.136,0.5,0.25
-6.0449e-10,-6.0449e-10,1,0.14,0.14,0.5,0.25
-6.2477e-10,-6.2477e-10,1,0.144,0.144,0.5,0.25
-6.4504e-10,-6.4504e-10,1,0.148,0.148,0.5,0.25
-6.6532e-10,-6.6532e-10,1,0.152,0.152,0.5,0.25
-6.8559e-10,-6.8559e-10,1,0.156,0.156,0.5,0.25
-7.0587e-10,-7.0587e-10,1,0.16,0.16,0.5,0.25
-7.2614e-10,-7.2614e-10,1,0.164,0.164,0.5,0.25
-7.4642e-10,-7.4642e-10,1,0.168,0.168,0.5,0.25
-1.6383e-10,-1.6383e-10,1,0.172,0.172,0.5,0.25
