"U1","U2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.539e-10,3.539e-10,1,0,0,0.5,0.25
3.1427e-10,3.1427e-10,1,0.004,0.004,0.5,0.25
2.7464e-10,2.7464e-10,1,0.008,0.008,0.5,0.25
2.35e-10,2.35e-10,1,0.012,0.012,0.5,0.25
1.9537e-10,1.9537e-10,1,0.016,0.016,0.5,0.25
1.5573e-10,1.5573e-10,1,0.02,0.02,0.5,0.25
1.161e-10,1.161e-10,1,0.024,0.024,0.5,0.25
7.6465e-11,7.6465e-11,1,0.028,0.028,0.5,0.25
3.6831e-11,3.6831e-11,1,0.032,0.032,0.5,0.25
-2.8029e-12,-2.8029e-12,1,0.036,0.036,0.5,0.25
-4.2437e-11,-4.2437e-11,1,0.04,0.04,0.5,0.25
-8.2071e-11,-8.2071e-11,1,0.044,0.044,0.5,0.25
-1.2171e-10,-1.2171e-10,1,0.048,0.048,0.5,0.25
-1.6134e-10,-1.6134e-10,1,0.052,0.052,0.5,0.25
-2.0097e-10,-2.0097e-10,1,0.056,0.056,0.5,0.25
-2.4061e-10,-2.4061e-10,1,0.06,0.06,0.5,0.25
-2.8024e-10,-2.8024e-10,1,0.064,0.064,0.5,0.25
-3.1988e-10,-3.1988e-10,1,0.068,0.068,0.5,0.25
-3.5951e-10,-3.5951e-10,1,0.072,0.072,0.5,0.25
-3.9914e-10,-3.9914e-10,1,0.076,0.076,0.5,0.25
-4.3878e-10,-4.3878e-10,1,0.08,0.08,0.5,0.25
-4.7841e-10,-4.7841e-10,1,0.084,0.084,0.5,0.25
-4.9377e-10,-4.9377e-10,1,0.088,0.088,0.5,0.25
-5.3163e-10,-5.3163e-10,1,0.092,0.092,0.5,0.25
-5.6949e-10,-5.6949e-10,1,0.096,0.096,0.5,0.25
-6.0736e-10,-6.0736e-10,1,0.1,0.1,0.5,0.25
-6.4522e-10,-6.4522e-10,1,0.104,0.104,0.5,0.25
-6.8308e-10,-6.8308e-10,1,0.108,0.108,0.5,0.25
-7.2094e-10,-7.2094e-10,1,0.112,0.112,0.5,0.25
-7.588e-10,-7.588e-10,1,0.116,0.116,0.5,0.25
-7.9666e-10,-7.9666e-10,1,0.12,0.12,0.5,0.25
-8.3453e-10,-8.3453e-10,1,0.124,0.124,0.5,0.25
-1.1259e-09,-1.1259e-09,1,0.128,0.128,0.5,0.25
-1.182e-09,-1.182e-09,1,0.132,0.132,0.5,0.25
-1.2381e-09,-1.2381e-09,1,0.136,0.136,0.5,0.25
-1.2942e-09,-1.2942e-09,1,0.14,0.14,0.5,0.25
-1.3503e-09,-1.3503e-09,1,0.144,0.144,0.5,0.25
-1.4064e-09,-1.4064e-09,1,0.148,0.148,0.5,0.25
-1.4625e-09,-1.4625e-09,1,0.152,0.152,0.5,0.25
-1.5186e-09,-1.5186e-09,1,0.156,0.156,0.5,0.25
