"Density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99911,1,0,0,0.5,0.25
0.99906,1,0.005,0.005,0.5,0.25
0.999,1,0.01,0.01,0.5,0.25
0.99894,1,0.015,0.015,0.5,0.25
0.99887,1,0.02,0.02,0.5,0.25
0.9988,1,0.025,0.025,0.5,0.25
0.99873,1,0.03,0.03,0.5,0.25
0.99866,1,0.035,0.035,0.5,0.25
0.99858,1,0.04,0.04,0.5,0.25
0.9985,1,0.045,0.045,0.5,0.25
0.99842,1,0.05,0.05,0.5,0.25
0.99833,1,0.055,0.055,0.5,0.25
0.99824,1,0.06,0.06,0.5,0.25
0.99815,1,0.065,0.065,0.5,0.25
0.99806,1,0.07,0.07,0.5,0.25
0.99796,1,0.075,0.075,0.5,0.25
0.99786,1,0.08,0.08,0.5,0.25
0.99776,1,0.085,0.085,0.5,0.25
0.99765,1,0.09,0.09,0.5,0.25
0.99751,1,0.095,0.095,0.5,0.25
0.9974,1,0.1,0.1,0.5,0.25
0.99728,1,0.105,0.105,0.5,0.25
0.99716,1,0.11,0.11,0.5,0.25
0.99703,1,0.115,0.115,0.5,0.25
0.99689,1,0.12,0.12,0.5,0.25
0.99675,1,0.125,0.125,0.5,0.25
0.9966,1,0.13,0.13,0.5,0.25
0.99645,1,0.135,0.135,0.5,0.25
0.99629,1,0.14,0.14,0.5,0.25
0.99612,1,0.145,0.145,0.5,0.25
0.99595,1,0.15,0.15,0.5,0.25
0.99577,1,0.155,0.155,0.5,0.25
0.99559,1,0.16,0.16,0.5,0.25
0.99539,1,0.165,0.165,0.5,0.25
0.99519,1,0.17,0.17,0.5,0.25
0.99499,1,0.175,0.175,0.5,0.25
0.99478,1,0.18,0.18,0.5,0.25
0.99456,1,0.185,0.185,0.5,0.25
0.99426,1,0.19,0.19,0.5,0.25
0.99406,1,0.195,0.195,0.5,0.25
0.99384,1,0.2,0.2,0.5,0.25
0.99361,1,0.205,0.205,0.5,0.25
0.99336,1,0.21,0.21,0.5,0.25
0.9931,1,0.215,0.215,0.5,0.25
0.99282,1,0.22,0.22,0.5,0.25
0.99253,1,0.225,0.225,0.5,0.25
0.99223,1,0.23,0.23,0.5,0.25
0.9919,1,0.235,0.235,0.5,0.25
0.99157,1,0.24,0.24,0.5,0.25
0.99122,1,0.245,0.245,0.5,0.25
0.99085,1,0.25,0.25,0.5,0.25
0.99047,1,0.255,0.255,0.5,0.25
0.99008,1,0.26,0.26,0.5,0.25
0.98967,1,0.265,0.265,0.5,0.25
0.98924,1,0.27,0.27,0.5,0.25
0.9888,1,0.275,0.275,0.5,0.25
0.98835,1,0.28,0.28,0.5,0.25
0.98778,1,0.285,0.285,0.5,0.25
0.98737,1,0.29,0.29,0.5,0.25
0.98691,1,0.295,0.295,0.5,0.25
0.98642,1,0.3,0.3,0.5,0.25
0.98589,1,0.305,0.305,0.5,0.25
0.98532,1,0.31,0.31,0.5,0.25
0.98471,1,0.315,0.315,0.5,0.25
0.98406,1,0.32,0.32,0.5,0.25
0.98337,1,0.325,0.325,0.5,0.25
0.98264,1,0.33,0.33,0.5,0.25
0.98187,1,0.335,0.335,0.5,0.25
0.98106,1,0.34,0.34,0.5,0.25
0.98021,1,0.345,0.345,0.5,0.25
0.97932,1,0.35,0.35,0.5,0.25
0.97839,1,0.355,0.355,0.5,0.25
0.97743,1,0.36,0.36,0.5,0.25
0.97642,1,0.365,0.365,0.5,0.25
0.97537,1,0.37,0.37,0.5,0.25
0.97429,1,0.375,0.375,0.5,0.25
0.97286,1,0.38,0.38,0.5,0.25
0.97182,1,0.385,0.385,0.5,0.25
0.97068,1,0.39,0.39,0.5,0.25
0.96944,1,0.395,0.395,0.5,0.25
0.96811,1,0.4,0.4,0.5,0.25
0.96668,1,0.405,0.405,0.5,0.25
0.96514,1,0.41,0.41,0.5,0.25
0.96352,1,0.415,0.415,0.5,0.25
0.96179,1,0.42,0.42,0.5,0.25
0.95996,1,0.425,0.425,0.5,0.25
0.95804,1,0.43,0.43,0.5,0.25
0.95602,1,0.435,0.435,0.5,0.25
0.9539,1,0.44,0.44,0.5,0.25
0.95168,1,0.445,0.445,0.5,0.25
0.94937,1,0.45,0.45,0.5,0.25
0.94695,1,0.455,0.455,0.5,0.25
0.94444,1,0.46,0.46,0.5,0.25
0.94183,1,0.465,0.465,0.5,0.25
0.93912,1,0.47,0.47,0.5,0.25
0.93632,1,0.475,0.475,0.5,0.25
0.93194,1,0.48,0.48,0.5,0.25
0.92893,1,0.485,0.485,0.5,0.25
